"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"인천교통공사 계양역",인천광역시 계양구 다남로 24,인천광역시 계양구 귤현동 451-8,다목적,19,41,역사 내,7,1999-10,032-710-9105,37.571539,126.736319,2019-04-30
"인천교통공사 귤현역",인천광역시 계양구 장제로 1136,인천광역시 계양구 귤현동 357-2,다목적,19,41,역사 내,7,1999-10,032-515-9104,37.566362,126.742498,2019-04-30
"인천교통공사 박촌역",인천광역시 계양구 장제로 992,인천광역시 계양구 박촌동 18-2,다목적,25,41,역사 내,7,1999-10,032-519-3122,37.553525,126.744946,2019-04-30
"인천교통공사 임학역",인천광역시 계양구 장제로 875,인천광역시 계양구 임학동 93,다목적,15,41,역사 내,7,1999-10,032-541-3113,37.545058,126.738642,2019-04-30
"인천교통공사 계산역",인천광역시 계양구 경명대로 1089,인천광역시 계양구 계산동 1014,다목적,26,41,역사 내,7,1999-10,032-546-3151,37.543243,126.728436,2019-04-30
"인천교통공사 경인교대역",인천광역시 계양구 계양대로 162,인천광역시 계양구 계산동 1034,다목적,25,41,역사 내,7,1999-10,032-553-3394,37.538272,126.722603,2019-04-30
"인천교통공사 작전역",인천광역시 계양구 게양대로 73,인천광역시 계양구 작전동 878,다목적,18,41,역사 내,7,1999-10,032-543-3116,37.530271,126.722548,2019-04-30
"인천교통공사 갈산역",인천광역시 부평구 부평대로 286,인천광역시 부평구 청천동 112,다목적,19,41,역사 내,7,1999-10,032-511-4245,37.517124,126.721566,2019-04-30
"인천교통공사 부평구청역",인천광역시 부평구 부평대로 189,인천광역시 부평구 청천동 112-1,다목적,18,41,역사 내,7,1999-10,032-513-9103,37.508768,126.720547,2019-04-30
"인천교통공사 부평시장역",인천광역시 부평구 부평대로 69,인천광역시 부평구 부평동 224-1,다목적,25,41,역사 내,7,1999-10,032-512-3119,37.498495,126.722282,2019-04-30
"인천교통공사 부평역",인천광역시 부평구 광장로 15,인천광역시 부평구 부평동 738-21,다목적,41,41,역사 내,7,1999-10,032-515-9103,37.490541,126.723437,2019-04-30
"인천교통공사 동수역",인천광역시 부평구 경인로 877,인천광역시 부평구 부평동 686,다목적,21,41,역사 내,7,1999-10,032-516-3121,37.485409,126.718464,2019-04-30
"인천교통공사 부평삼거리역",인천광역시 부평구 경인로 765,인천광역시 부평구 십정동 592,다목적,19,41,역사 내,7,1999-10,032-516-3122,37.478267,126.710494,2019-04-30
"인천교통공사 간석오거리역",인천광역시 남동구 경인로 674,인천광역시 남동구 간석동 215-1,다목적,27,41,역사 내,7,1999-10,032-434-3123,37.466921,126.707861,2019-04-30
"인천교통공사 인천시청역",인천광역시 남동구 예술로 264,인천광역시 남동구 간석동 927,다목적,21,41,역사 내,7,1999-10,032-441-3124,37.457615,126.702216,2019-04-30
"인천교통공사 예술회관역",인천광역시 남동구 예술로 172,인천광역시 남동구 구월동 1408,다목적,26,41,역사 내,7,1999-10,032-441-3125,37.449334,126.700991,2019-04-30
"인천교통공사 인천터미널역",인천광역시 미추홀구 예술로 85,인천광역시 미추홀구 관교동 14,다목적,25,41,역사 내,7,1999-10,032-441-3126,37.441917,126.699727,2019-04-30
"인천교통공사 문학경기장역",인천광역시 연수구 예술로 2,인천광역시 연수구 선학동 117-1,다목적,23,41,역사 내,7,1999-10,032-441-3127,37.434964,126.698373,2019-04-30
"인천교통공사 선학역",인천광역시 연수구 경원대로 480,인천광역시 연수구 선학동 241-2,다목적,18,41,역사 내,7,1999-10,032-821-3128,37.426985,126.698872,2019-04-30
"인천교통공사 신연수역",인천광역시 연수구 경원대로 368,인천광역시 연수구 연수동 637,다목적,16,41,역사 내,7,1999-10,032-813-3129,37.418032,126.694009,2019-04-30
"인천교통공사 원인재역",인천광역시 연수구 경원대로 285,인천광역시 연수구 연수동 647,다목적,23,41,역사 내,7,1999-10,032-816-3130,37.412364,126.687893,2019-04-30
"인천교통공사 동춘역",인천광역시 연수구 경원대로 180,인천광역시 연수구 동춘동 926-11,다목적,23,41,역사 내,7,1999-10,032-814-5702,37.404676,126.680835,2019-04-30
"인천교통공사 동막역",인천광역시 연수구 경원대로 80,인천광역시 연수구 동춘동 927-1,다목적,19,41,역사 내,7,2009-11,032-816-5584,37.398173,126.673561,2019-04-30
